austria, Austria, Austria, AUT
belarus, Belarus, Belarus, BLR
belgium, Belgium, Belgium, BEL
bulgaria, Bulgaria, Bulgaria, BGR
croatia, Croatia, Croatia, HRV
cyprus, Cyprus, Cyprus, CYP
czech, Czech, Czech Republic, CZE
denmark, Denmark, Denmark, DEN
estonia, Estonia, Estonia, EST
finland, Finland, Finland, FIN
france, France, France, FRA
germany, Germany, Germany, GER
greece, Greece, Greece, GRE
hungary, Hungary, Hungary, HUN
iceland, Iceland, Iceland, ISL
ireland, Ireland, Ireland, IRL
italy, Italy, Italy, ITA
latvia, Latvia, Latvia, LVA
lithuania, Lithuania, Lithuania, LTU
luxembourg, Luxembourg, Luxembourg, LUX
macedonia, Macedonia, Macedonia, MKD
malta, Malta, Malta, MLT
moldova, Moldova, Moldova, MDA
montenegro, Montenegro, Montenegro, MNE
netherlands, Netherlands, Netherlands, NEL
norway, Norway, Norway, NOR
poland, Poland, Poland, POL
portugal, Portugal, Portugal, POR
romania, Romania, Romania, ROM
serbia, Serbia, Serbia, SRB
slovakia, Slovakia, Slovakia, SVK
slovenia, Slovenia, Slovenia, SVN
spain, Spain, Spain, ESP
sweden, Sweden, Sweden, SWE
switzerland, Switzerland, Switzerland, CHE
turkey, Turkey, Turkey, TUR
uk, UK, United Kingdom, UK
ukraine, Ukraine, Ukraine, UKR